date,yt_pred_time_trend_3_fourier,yt_true,yt_pred_mlp_8,yt_pred_stacked_mlp,yt_pred_d1d12_mlp
1946-01-01,1138.240263583133,890,,,
1946-02-01,1250.6692805200876,992,,,
1946-03-01,1282.0046880942202,979,,,
1946-04-01,1425.2150843147783,959,,,
1946-05-01,1564.724162238021,1110,,,
1946-06-01,1531.931914667873,1546,,,
1946-07-01,2199.885663947841,1539,,,
1946-08-01,2989.310342888406,3401,,,
1946-09-01,2535.851832234696,2092,,,
1946-10-01,1845.1812415880088,1436,,,
1946-11-01,1778.8667492289217,1301,,,
1946-12-01,1539.9901752271892,1287,,,
1947-01-01,1302.4547672028698,1488,,,
1947-02-01,1412.430127355236,1517,1260.8287581197692,1205.909176660877,
1947-03-01,1441.3439891327469,1707,1360.020366506708,1282.3323781895367,
1947-04-01,1582.16495054465,1729,1434.9276830258302,1273.4332926946747,
1947-05-01,1719.316704647204,1788,1488.1159796137486,1335.6017470015531,
1947-06-01,1684.1992442443338,2008,1665.9033804755445,1497.3697155066282,
1947-07-01,2349.8598916795463,2203,1959.1560238786856,1863.9579449148573,
1947-08-01,3137.023579763324,3713,2746.777458137373,2894.159199623361,
1947-09-01,2681.336189240792,2946,2630.703128844553,2863.775341039616,
1947-10-01,1988.4688297132493,2082,2093.597527732729,2029.6152359782652,
1947-11-01,1919.9896794612728,2033,1741.766661419351,1480.9424720209242,
1947-12-01,1678.9805585546192,1937,1677.8859347553466,1537.4542162262408,
1948-01-01,1439.3447146133444,1711,1753.5357886832237,1652.011730324965,
1948-02-01,1547.251749836722,1775,1739.437567935572,1669.0553566037763,
1948-03-01,1574.129397673211,1902,1888.1827194795085,1883.153469313907,1926.049644751516
1948-04-01,1712.946256132059,1846,1983.316236258442,1939.414730605253,1887.2497140495152
1948-05-01,1848.1260182695248,2083,1983.9057651298167,1892.824074311288,1863.4183278324908
1948-06-01,1811.0686768895323,2262,2158.2066304630985,2084.893448401104,2265.4727309741393
